condition,trial,n_teammates,success,tasks_done,total_tasks,task_completion_rate,wall_clock_seconds,total_rounds,total_input_tokens,total_output_tokens,total_tokens,tokens_per_task,dispatched_agent_rounds,possible_agent_rounds,idle_agent_rounds,idle_fraction,run_dir
metagpt,15,4,False,0,1,0.0,909.629,30,480330,67312,547642,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_15_metagpt_20260504_210149
static,15,4,True,8,8,1.0,192.4471311569214,7,78928,32975,111903,13987.875,11,28,17,0.6071428571428571,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_15_static_20260504_211412
dynamic,16,4,True,8,8,1.0,136.1347451210022,18,140742,15939,156681,19585.125,40,72,32,0.4444444444444444,experiments/textproc/n4/runs/openai_gpt-5.2_16_dynamic_20260504_211706
decentralized,16,4,True,6,6,1.0,73.48921298980713,10,196160,21986,218146,36357.666666666664,50,50,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_16_decentralized_20260504_211929
no_graph,15,4,True,6,6,1.0,413.32164096832275,4,256296,71492,327788,54631.333333333336,16,20,4,0.2,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_15_no_graph_20260504_211745
static,16,4,False,8,11,0.7272727272727273,291.5124979019165,40,246865,22687,269552,33694.0,40,160,120,0.75,experiments/textproc/n4/runs/openai_gpt-5.2_16_static_20260504_212042
no_graph,16,4,True,6,6,1.0,226.99244713783264,7,140572,28533,169105,28184.166666666668,28,35,7,0.2,experiments/textproc/n4/runs/openai_gpt-5.2_16_no_graph_20260504_212552
metagpt,16,4,False,0,1,0.0,700.388,30,392498,56157,448655,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_16_metagpt_20260504_212939
dynamic,17,4,True,6,6,1.0,97.0346372127533,6,58085,12181,70266,11711.0,14,24,10,0.4166666666666667,experiments/textproc/n4/runs/openai_gpt-5.2_17_dynamic_20260504_214125
decentralized,17,4,True,6,6,1.0,81.04161477088928,9,166458,22679,189137,31522.833333333332,45,45,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_17_decentralized_20260504_214310
static,17,4,True,10,10,1.0,123.18796801567078,11,81081,13275,94356,9435.6,25,44,19,0.4318181818181818,experiments/textproc/n4/runs/openai_gpt-5.2_17_static_20260504_214431
no_graph,17,4,True,6,6,1.0,107.14261794090271,11,184850,19559,204409,34068.166666666664,44,55,11,0.2,experiments/textproc/n4/runs/openai_gpt-5.2_17_no_graph_20260504_214648
metagpt,17,4,False,0,1,0.0,851.529,30,434445,72311,506756,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_17_metagpt_20260504_214835
metagpt,15,4,True,1,1,1.0,2367.228,30,1787136,211794,1998930,1998930.0,0,0,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_15_metagpt_20260504_212439
dynamic,18,4,True,15,15,1.0,169.83338713645935,6,75064,29806,104870,6991.333333333333,12,24,12,0.5,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_18_dynamic_20260504_220816
decentralized,18,4,True,6,6,1.0,153.22319912910461,3,94953,61438,156391,26065.166666666668,15,15,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_18_decentralized_20260504_221156
static,18,4,True,10,10,1.0,281.4534659385681,7,150179,55467,205646,20564.6,16,28,12,0.42857142857142855,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_18_static_20260504_221430
no_graph,18,4,True,6,6,1.0,169.28716278076172,2,47804,37650,85454,14242.333333333334,8,10,2,0.2,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_18_no_graph_20260504_221931
decentralized,19,4,True,6,6,1.0,155.58289885520935,3,98110,61440,159550,26591.666666666668,15,15,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_19_decentralized_20260504_230342
static,19,4,True,10,10,1.0,249.42992997169495,6,147284,46150,193434,19343.4,13,24,11,0.4583333333333333,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_19_static_20260504_230617
no_graph,19,4,True,6,6,1.0,324.6184389591217,3,133804,57374,191178,31863.0,12,15,3,0.2,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_19_no_graph_20260504_231041
dynamic,20,4,True,7,7,1.0,102.77421426773071,3,51117,20128,71245,10177.857142857143,7,12,5,0.4166666666666667,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_20_dynamic_20260504_234937
decentralized,20,4,True,6,6,1.0,161.9314570426941,3,94093,61438,155531,25921.833333333332,15,15,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_20_decentralized_20260504_235134
static,20,4,True,9,9,1.0,239.52250576019287,7,80458,29044,109502,12166.888888888889,11,28,17,0.6071428571428571,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_20_static_20260504_235416
no_graph,20,4,True,6,6,1.0,172.0066843032837,2,59823,39487,99310,16551.666666666668,8,10,2,0.2,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_20_no_graph_20260504_235837
